174	38524	16322	27370	257124	611	82216	83764	51341	7750	15796	74887	80932
175	11142	12748	11864	257749	625	35754	47576	49273	7948	14902	72123	18687
176	15002	9476	9844	258430	681	34322	42123	48923	7708	15832	72463	9309
177	53932	23962	30098	259070	640	107992	87801	52126	7772	13749	73647	87876
178	47136	19816	32124	259707	637	99076	88599	51922	8175	14511	74608	89248
179	46556	12258	32040	260361	654	90854	84162	51493	7970	13319	72782	81618
180	43260	8524	38136	261038	677	89920	82692	46596	8023	17439	72058	79089
181	34504	14892	34374	261733	695	83770	83365	48158	7979	17362	73499	80246
182	10026	13522	14796	262418	685	38344	49412	48159	8007	16285	72451	21848
183	15390	9834	11808	263059	641	37032	42186	49719	7943	15353	73015	9418
184	59178	21382	30560	263684	625	111120	87698	52103	7292	14034	73429	87698
185	54186	20178	33234	264374	690	107598	90370	52074	8021	14479	74574	92294
