1	25212	16676	7178	1	1	49066	66497	50051	7581	15923	73555	51232
2	98758	39216	19220	1	0	157194	70488	50933	7282	13875	72090	58099
3	89036	28854	21650	1	0	139540	78443	51409	7223	13796	72428	71779
4	84668	23304	23534	6	5	131506	81503	52363	7205	13547	73115	77042
5	76780	22072	21510	6	0	120362	78301	51346	7221	14224	72791	71536
6	59912	22444	22762	6	0	105118	78443	51409	7223	13796	72428	71779
7	21976	8744	11026	9	3	41746	50941	47733	7603	15847	71183	24477
8	14710	7860	5622	9	0	28192	41814	44479	7699	18484	70662	8778
9	32508	18184	10066	15	6	60758	68023	50152	7773	15891	73816	53857
10	95284	38128	25402	19	4	158814	83981	52432	7188	13406	73026	81306
11	83568	25388	34404	24	5	143360	89154	52299	7499	13671	73469	90202
12	73636	22274	38126	33	9	134036	88841	52244	7537	13659	73440	89665
13	58968	25912	31388	33	0	116268	88548	51298	7309	13813	72420	89160
14	16208	19638	14286	53	20	50132	51647	50019	7985	16091	74095	25690
15	25014	14550	8304	56	3	47868	63947	49094	7613	16253	72960	46848
16	88094	35504	20068	86	30	143666	70587	51888	7274	13679	72841	58269
17	80746	21108	16434	98	12	118288	70298	51486	7283	14137	72906	57772
18	78304	15506	20542	131	33	114352	72056	51024	7105	14151	72280	60795
19	70650	14500	22108	137	6	107258	75793	50910	7077	14368	72355	67221
20	56144	22142	21620	191	54	99906	78301	52294	7226	13599	73119	71536
21	19506	16640	8548	262	71	44694	51424	50540	7594	15845	73979	25307
22	26500	10478	5340	290	28	42318	59167	49400	7600	15258	72258	38626
23	88280	22234	10402	410	120	120916	70292	51818	7223	13495	72536	57761
24	79412	14962	9340	546	136	103714	68732	50679	7038	14186	71903	55078
25	77222	9620	7514	703	157	94356	61858	51126	7023	13549	71698	43253
26	65122	4892	5770	817	114	75784	61690	48190	6965	14869	70024	42965
27	51764	11566	3906	1014	197	67236	62335	51067	7551	13733	72351	44074
28	16800	11318	1318	1226	212	29436	42529	49982	7607	15322	72911	10007
29	25550	2334	400	1613	387	28284	58786	45793	7465	17223	70481	37970
30	57508	1596	330	1880	267	59434	61690	48190	6965	14869	70024	42965
31	40638	434	352	2475	595	41424	61166	46327	7547	16683	70557	42064
32	48552	298	662	2923	448	49512	61495	48148	7378	14813	70339	42629
33	43162	364	1094	3357	434	44620	61583	46039	7526	16763	70328	42782
34	41722	3222	1218	3893	536	46162	61156	46288	7538	16813	70639	42047
35	16326	6034	590	4484	591	22950	42177	46005	7462	17636	71103	9403
36	19998	2064	554	5181	697	22616	41785	42093	7397	20985	70475	8728
37	51312	2956	878	5841	660	55146	62063	48152	7407	14948	70507	43608
38	42678	2030	1302	6698	857	46010	59452	37393	7391	23225	68009	39116
39	39842	1150	1442	7822	1124	42434	59084	37446	7408	23252	68106	38484
40	37236	1526	2376	8852	1030	41138	58716	37458	7392	23221	68071	37850
41	32280	6044	2420	10158	1306	40744	57888	36678	7341	24448	68467	36427
42	9476	6624	914	11513	1355	17014	39607	34695	7501	26316	68512	4983
43	12698	2144	872	13002	1489	15714	40574	34853	7534	24209	66596	6647
44	30962	3910	1340	14776	1774	36212	58395	36736	7358	23849	67943	37297
45	25144	2892	1330	16146	1370	29366	55737	36512	7344	24014	67870	32727
46	21546	1288	2312	18105	1959	25146	43838	36766	7356	23871	67993	12259
47	18410	1148	2992	20754	2649	22550	40193	36602	7266	22913	66781	5991
48	15624	3150	3218	24324	3570	21992	40038	38396	6155	21338	65889	5723
49	5860	4128	1670	26350	2026	11658	39983	34888	7470	24953	67311	5630
50	8018	2210	1280	29433	3083	11508	39951	35150	6398	23866	65414	5574
51	21500	3942	2240	31981	2548	27682	44031	36662	7278	23175	67115	12592
52	17706	2576	2300	33940	1959	22582	40197	36723	7368	23826	67917	5996
53	16342	1652	3742	36897	2957	21736	40112	36843	6287	22604	65734	5852
54	14342	1346	4942	39509	2612	20630	40196	35258	7443	23800	66501	5996
55	10856	3204	4564	42480	2971	18624	40119	35380	6473	23280	65133	5864
56	4482	3246	2600	45351	2871	10328	39908	34977	6642	23933	65552	5501
57	6336	2002	1370	48426	3075	9708	39702	35169	6385	23705	65259	5144
58	15076	2698	2770	50646	2220	20544	39848	35941	7432	24033	67406	5396
59	12602	1162	3558	53739	3093	17322	39874	35230	6403	22741	64374	5441
60	11548	1180	3852	57300	3561	16580	39958	36980	6329	22018	65327	5585
61	8376	1470	4722	62658	5358	14568	39993	37045	6323	22144	65512	5645
62	3562	1212	3054	68606	5948	7828	39745	36689	6309	22121	65119	5219
63	3180	948	4164	74401	5795	8292	39745	36689	6309	22121	65119	5219
64	2876	2488	2392	80115	5714	7756	39745	36689	6309	22121	65119	5219
65	3810	5064	2742	85973	5858	11616	39745	36555	6309	22746	65610	5219
