22.08.2020	257124	611	Август
23.08.2020	257749	625	Август
24.08.2020	258430	681	Август
25.08.2020	259070	640	Август
26.08.2020	259707	637	Август
27.08.2020	260361	654	Август
28.08.2020	261038	677	Август
29.08.2020	261733	695	Август
30.08.2020	262418	685	Август
31.08.2020	263059	641	Август
