86472	8	144594	8	12.08.2020
81678	8	135990	8	13.08.2020
78500	8	129564	8	14.08.2020
34840	8	59208	8	15.08.2020
33876	8	56624	8	16.08.2020
107156	8	176530	8	17.08.2020
92910	8	154740	8	18.08.2020
89390	8	148872	8	19.08.2020
89626	8	147434	8	20.08.2020
82216	8	134956	8	21.08.2020
35754	8	59020	8	22.08.2020
34322	8	56856	8	23.08.2020
107992	8	177322	8	24.08.2020
99076	8	163914	8	25.08.2020
90854	8	151154	8	26.08.2020
89920	8	149180	8	27.08.2020
83770	8	138038	8	28.08.2020
38344	8	63576	8	29.08.2020
37032	8	61840	8	30.08.2020
111120	8	185152	8	31.08.2020
107598	9	176260	9	01.09.2020
109844	9	180220	9	02.09.2020
101424	9	169694	9	03.09.2020
92466	9	154090	9	04.09.2020
40650	9	69238	9	05.09.2020
38524	9	65994	9	06.09.2020
117002	9	196612	9	07.09.2020
100500	9	169724	9	08.09.2020
99972	9	169014	9	09.09.2020
96788	9	162768	9	10.09.2020
90198	9	149184	9	11.09.2020
36828	9	63414	9	12.09.2020
35874	9	61828	9	13.09.2020
113850	9	192062	9	14.09.2020
103966	9	177600	9	15.09.2020
98928	9	168780	9	16.09.2020
96086	9	162212	9	17.09.2020
90348	9	151230	9	18.09.2020
38600	9	66628	9	19.09.2020
37870	9	64512	9	20.09.2020
116470	9	195096	9	21.09.2020
105138	9	177268	9	22.09.2020
99156	9	169018	9	23.09.2020
97930	9	164526	9	24.09.2020
92148	9	152618	9	25.09.2020
36684	9	63744	9	26.09.2020
34806	9	60368	9	27.09.2020
110272	9	186180	9	28.09.2020
101064	9	173524	9	29.09.2020
102172	9	171448	9	30.09.2020
95924	10	161361	10	01.10.2020
86306	10	145744	10	02.10.2020
33656	10	60688	10	03.10.2020
33282	10	58572	10	04.10.2020
103470	10	178344	10	05.10.2020
94930	10	164160	10	06.10.2020
89158	10	154322	10	07.10.2020
83120	10	144112	10	08.10.2020
76446	10	130308	10	09.10.2020
32266	10	57164	10	10.10.2020
31180	10	54972	10	11.10.2020
93282	10	162356	10	12.10.2020
81410	10	145418	10	13.10.2020
83122	10	144778	10	14.10.2020
88272	10	147774	10	15.10.2020
81588	10	135990	10	16.10.2020
37074	10	61734	10	17.10.2020
35404	10	59960	10	18.10.2020
102874	10	171284	10	19.10.2020
93004	10	155522	10	20.10.2020
80788	10	134356	10	21.10.2020
84534	10	142700	10	22.10.2020
82162	10	136434	10	23.10.2020
35084	10	60376	10	24.10.2020
34276	10	58024	10	25.10.2020
99702	10	166458	10	26.10.2020
92540	10	154716	10	27.10.2020
91880	10	153598	10	28.10.2020
87876	10	148508	10	29.10.2020
85834	10	142388	10	30.10.2020
