x y z
9567222	232248	402169
9304311	218538	463265
9232281	236017	437200
9197236	213547	414226
9050168	206210	355117
8967184	198967	397237
8700214	199730	401221
8515100	191771	300143
8020196	184113	358229
7933245	176638	383180
7679226	18108	339207
7501184	191221	330161
7441201	183528	324185
692693	16318	26080
6921184	157413	340223
6793150	152736	280162
6751120	144457	248128
6556147	155520	281112
6185151	151959	249129
609057	110424	23683
587698	129527	236151
5851112	146722	22855
5514158	13776	271162
5485127	135119	237109
530666	12748	217130
5131106	118443	221130
4861134	12364	227120
4788780	2	0
462782	10531	17677
4501273	138113	273173
4421125	104925	216134
415599	114040	196112
412080	91044	16196
402153	90228	13836
3924118	91821	199106
3857132	97831	192125
380090	89312	16089
3769126	9139	17585
368793	97336	16678
336655	71817	13779
326687	73413	15498
322176	7562	13768
313063	72215	11749
286951	7033	10926
256227	56321	11345
235450	52013	9442
234558	60713	10238
214026	51527	702
20942	4831	6819
207450	5043	10055
201639	52813	8324
196245	4797	8233
193838	5448	8352
188834	4529	8851
186449	4102	9263
177832	4198	7438
177231	3612	6828
176065	46428	8749
172239	36612	7637
170111	34031	5115
162945	3623	7050
156240	44924	7840
151433	3474	6233
149576	1	1
144129	3223	4917
142227	43710	6539
136048	30410	6741
13263	24011	3914
1310102	0	0
129615	2681	4424
118225	25224	3722
117944	29734	6945
116922	2582	5127
1158110	538103	137100
102918	20616	4025
8982	1869	237
78126	0	0
76712	1822	3412
5919	1931	181
479109	0	0
43623	1173	3019
43351	1	0
42569	7	11
19576	19576	7641
19251	0	0
1899	386	119
18828	11	11
16957	0	0
8320	0	0
6894	1	0
622	92	0
254	0	0
0	0	0
5993	1535	198
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
